,label,comment
0,-1.0,everyone knows brand s papers from  but  no one  knows about welfare of employees     it s so bad bad bad   bad     
1,0.0, your paper cut balance is                 
2,1.0,oh shit when i saw this on my front page       i love this song
3,1.0,blowing my mind yet again
4,0.0,should have gone with dunder mifflin
5,1.0,made me smile  great work
6,1.0,nan
7,1.0,the mad methodical geniuses do it again 
8,1.0,am i the only person who actually loves their music and not just the video 
9,1.0,the ad was the best   the store owner saved alot on payroll    hire her and it s like hiring six people   
10,-1.0,waste of ink and paper     
11,1.0, lol he almost fell        
12,1.0,who ever thumbed down this video ya mommas a hoe
13,0.0,it takes    trees to create this mv
14,1.0,  
15,0.0,ah yes  the novelty band returns 
16,0.0,this music reminds me of fnaf   song by thelivingtombstone   
17,0.0,thanks for warning us if we have seizures cause i do 
18,1.0,fire music video
19,1.0,i like it  keep up the good work  me personally i think you should do english too and fix a little glitches  i love the beat and the dj he was amazing  don t stop what your doing maybe change up the hair a little but don t cut it  good work keep it up  d
20,-1.0,v yanse a la verga
21,-1.0,vayanse a la verga     no mames    que ching n   
22,0.0,i got a strange nagging sensation that kept making me think this song felt like bad by michael jackson lol
23,1.0,ok go does it again 
24,-1.0,should have been called  destroy the planet  or  waste away 
25,1.0,ohmygodtheymadeanotherone
26,1.0,their music videos never fail to amaze me
27,-1.0,boring  not worth it 
28,-1.0,if this is real  what a waste for a crappy video 
29,1.0,        
30,-1.0,sad to say  but i think they re running out of ideas 
31,1.0,i don t know how you guys keep outdoing yourselves  but i m so glad you exist 
32,0.0,are these peter gabriel s kids 
33,-1.0,such a waste wow
34,0.0,perfume fan assemble 
35,1.0,i m a bit confused whether the printers are printing all those full color pages that fast  or just spitting out a pre printed stack in the programmed sequence   either way it s amazing 
36,1.0,i think its funny that anyone cares about the paper  the printers are what you should be worried about  that and ink 
37,0.0,they have a real  obsession  with making extremely difficult videos
38,1.0,ok go never disappoint me  stay amazing 
39,1.0,yet another randomly impressive video from ok go  now if only their music wasn t completely worthless 
40,1.0,i like the sound   
41,1.0,am i being hypnotized    
42,0.0,i live in a paperless household   this is so retro 
43,1.0,you guys are so talented and so good at  making awesome videos  can t wait for the next one  
44,1.0,they are back with another amazing video  welcome back 
45,1.0,crazy awesome mv yet again guys 
46,1.0,     
47,0.0,how did they network the printers  existing software or custom 
48,0.0,my orchestra teacher showed us this  if anyone who goes to twality middle school please respond 
49,0.0,perfume anybody 
50,1.0,i just speachless how can they do that  that was awesome
51,-1.0,hold on this is an ad 
52,0.0,this marks the last time i ll ever be able to tell myself i m wasting paper 
53,1.0,i liked it it just hurt my eyes
54,1.0,oh my goodness this mv blow my mind               
55,-1.0,thanks for wasting all of this paper for a mediocre music video guys     recycled or not  
56,1.0,holly   so creative    
57,0.0,muy ecol gico todo
58,1.0,this band creates miracle
59,1.0,that moment you just look up okgo for fun cause oyu havent in a while and they recently posted a vid  good timing 
60,-1.0,                 i am environmentalist and i don t like this  
61,0.0,needs more cowbell
62,1.0,you ve done it again  also  i hope you actually have fun making these videos 
63,1.0,holy shit    
64,1.0,i m very happy they included a little piece of american sign language at     
65,0.0,     gravity s just a habit
66,0.0,super video  i like it very much  but  why the paper  why you wasted all that paper  it s too  much  wasted  paper 
67,0.0,for those of you wondering what the main singer   i forgot his name  did at the      mark he spelled  its obsession  in asl  american sign language 
