Label;Comment;;;;;
;Hispanic for Trump!;;;;;
;Taking down this video for copyright infringement.;;;;;
;This speech literaly ripped off the Dark Knight Rises, during Bane's speech;;;;;
;Poop him;;;;;
;He's speeching like a communist leader;;;;;
;Play this with https://www.youtube.com/watch?v=shaNFDyC5UI playing in the background, starting from 0:10.;;;;;
;Just do it. It doesn't get much better.;;;;;
;do not take my transgressions lightly or my recent instances of unfruitfulness, as they are a symbol of how small man is right now.;;;;;
;Josh Willson;;;;;
;6 hours ago;;;;;
;stop digging and look up. you pretend that you have believed in God all this time but you havent, you live as though all you have is your time on earth. i understand there is so much unexplained. that is why i was created, I am here to explain. I am not ready to explain yet, it will be a process. I will require my medicine and a personal living place, and a lot of reading. I will account for everything,, even deaths that seem meaningless and unfair. Events that seem iinevitable and just ways of nature. You must understand that your Apostle has lived in a box his whole life. And i do not say these things out of pride or some form of compensation. I say it with absolute sureness and a desire to fulfill my destiny, despite all the pettiness and darkness that has filled the voids that could of been filled with frankness and righteousness. the 2nd coming is not near, not even close. God is making plans to create an age of righteous diplomacy, ignore the noise, it is difficult but I only find it difficult because im surrounded by weakness and pettiness 24/7. Now my mother is another story, she is a victim much like myself, despite there being a whole summer where she didnt seem to sense my constant sensation of damnation after one of my friends sexually manipulated me and inspired spiritual bewilderment for at least 6 years give or take. Some people do not understand how this transition will work, too much resistance right? I beg to differ, see there are two forces, God and Lucifer. Right now the picture is a cloud of darkness with a little light somewhere in that cloud. Lucifer is having a hay day constantly, he has never felt better. But what people do not realize is that there is unbalance. If we can get to a point where we are doing as much good as bad that would look good, better than it looks now. But imagine if we could do the opposite of how it is right now. Lucifer would still be there yes, but we would make his inevitable anticipation of damnation far more excruciating, because right now, he often forgets that he is even damned. That is not good, at all. That is quite horrifying actually. See even if I am damned I will still resist because why would i submit to something that has damned me? It makes no sense. Now some people are just repulsive and choose darkness and grab ahold at the last minute. Humanity needs Jesus, more than ever. I cannot be silenced, not because of pride or whatever witty remarks or memes that have been created but because I am much like Lucifer, except I want to enlighten you, rather than cloud your vision with lust and man made conceptions of audacity or decisiveness. It will probably be a couple years before I formulate everything. Maybe my whole life, I am not sure, as I will have to account for everything. And I mean everything. Anything you could possibly think of I will put in layman's terms in a sense. Now I highly doubt anyone will want to see me when I arrive in heaven because I will be a reminder of how repulsive mankind became, especially considering every being in Heaven loves mankind on a level that you could not even possibly imagine. I can very much imagine I will just instantly appear in a massive home full of whatever I would want which is private. Now if humanity resists my destiny enough, God will have no quarrels taking me. None at all. And no thats not a threat of suicide. That would be pure unadulterated hypocrisy. One may argue what i am doing is  damnable since it could potentially lead others astray and contort the meaning of God and his sons word, But i do not wish the  damnation of anyone so therefore I will not damn anyone, that is on you. I know many of you think that I deface God, and taint his word and intentions and meanings, but at this point you and you alone are responsible for your salvation, at least personally I feel that if you are weak enough to be led astray then God is better off without you.   Lucifer expands on our imperfections while God tries to expand on our perfections. I realize how elementary and confusing everything I am saying is right now. But be patient, those of the new world will see every word of my works in time.;;;;;
;You think you're free, and it can't get any better, start from the bottom and go all the way to the top, you have challengers.;;;;;
;T R U M P;;;;;
;All the supporters at least own a gun or a shotgun;;;;;
;Begun the Clone Wars has...;;;;;
;GNN THY WILL BE DONE++++Lord's prayer to President Trump>>>>;;;;;
;For you shall go to all to whom I send you.  And whoever I command you,  you shall speak.  Do not be afraid of their faces.;;;;;
;Damn and how many times did he flash 666?;;;;;
;*[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[  THERE IS ABSOLUTELY NO SUCH THING AS A WHITE NA-TION-AL-IST!!!!! ]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]*;;;;;
;....What Country are they from? Where is their national Flag, Where is the geographical land mass, where are their Nations Treaties?, People DO NOT come in colors, People have a Na-tion-al descent and that lineage comes through the mother!;;;;;
;Chinese from China;;;;;
;Germans from Germany;;;;;
;Ethiopians from Ethiopia;;;;;
;Mexicans from Mexico = and that is American;;;;;
;Brazilian from Brazil = and that is American;;;;;
;Irish from ireland;;;;;
;French from Fance;;;;;
;[[[[[[[[[[[ WHITE???? ]]]]]]]] ....where is WHITEADONIA? LMAO!;;;;;
;these PERSONS which are not recognised as People according to All Law and common sense are INCORPORATED as ARTIFICIAL PERSONS right there in Delaware and are NOT in the human family but are PROPERTY and at Law PROPERTY can not own property! This goes for BLACK too!;;;;;
;"All these ""so called"" white people are on these American Lands doing what they been doing sense the Crusades and everywhere else on this planet under BANNER of DEMOCRACY under the GUISE OF AMERICA = STEALING THE BIRTHRIGHTS of the Aboriginal & Indigenous Peoples of the Earth and GENOCIDING ""us""!";;;;;
;And we are not Indians either!;;;;;
;*[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[    He just told EVERYONE that the Republic is being Restored....!  ]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]*;;;;;
